
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:B8:C2:38:FD:C4, 2020-06-09 11:23:24, 2020-06-09 11:23:24,  1, 130, WPA2, CCMP, PSK, -92,        1,        0,   0.  0.  0.  0,   5, Depaz, 
40:65:A3:2D:90:15, 2020-06-09 11:22:54, 2020-06-09 11:23:24,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -94,        2,        0,   0.  0.  0.  0,   6, Limor1, 
7C:B7:33:2C:43:CC, 2020-06-09 11:23:05, 2020-06-09 11:23:12, 12,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
8C:FE:74:25:C7:58, 2020-06-09 11:23:12, 2020-06-09 11:23:12, 10, 130, OPN, ,   , -86,        1,        0,   0.  0.  0.  0,  17, Naharia_Free_WIFI, 
8C:FE:74:65:C7:53, 2020-06-09 11:23:12, 2020-06-09 11:23:49, 10, 130, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,   0, , 
A0:8C:FD:0E:B6:B8, 2020-06-09 11:23:00, 2020-06-09 11:23:00,  9,  65, WPA2, CCMP, PSK, -82,        0,        0,   0.  0.  0.  0,  32, DIRECT-DD-HP DeskJet 3830 series, 
A0:4F:D4:43:24:B1, 2020-06-09 11:22:58, 2020-06-09 11:22:58,  1, 130, WPA2, CCMP, PSK, -94,        1,        0,   0.  0.  0.  0,   7, Cellcom, 
58:7A:62:3F:0A:5F, 2020-06-09 11:23:09, 2020-06-09 11:23:50,  6,  54, WPA2 WPA, CCMP TKIP, PSK, -93,        2,        0,   0.  0.  0.  0,  13, ELRSSID3F0A5F, 
E0:CA:94:B1:88:40, 2020-06-09 11:23:05, 2020-06-09 11:23:50,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:4A:3E:CD:4B:24, 2020-06-09 11:22:58, 2020-06-09 11:23:20,  6,  65, WPA2, CCMP, PSK, -88,        0,        0,   0.  0.  0.  0,  32, DIRECT-43-HP DeskJet 3830 series, 
80:C5:48:1A:9F:D4, 2020-06-09 11:22:54, 2020-06-09 11:23:46,  1, 130, WPA2, CCMP, PSK, -92,        3,        4,   0.  0.  0.  0,   5, Salon, 
10:5A:F7:0D:E8:18, 2020-06-09 11:22:58, 2020-06-09 11:23:32,  1,  -1, WPA, ,   , -90,        0,        3,   0.  0.  0.  0,   0, , 
24:20:C7:36:49:C0, 2020-06-09 11:22:54, 2020-06-09 11:23:50,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -90,       27,        0,   0.  0.  0.  0,  13, HOTFiber-0ABA, 
A0:39:EE:E9:62:1A, 2020-06-09 11:23:24, 2020-06-09 11:23:35,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -90,        4,        0,   0.  0.  0.  0,   9, perryhome, 
88:41:FC:E4:0E:17, 2020-06-09 11:23:31, 2020-06-09 11:23:31,  6,  -1, WPA, ,   , -90,        0,        1,   0.  0.  0.  0,   0, , 
80:C5:48:1A:30:C8, 2020-06-09 11:22:56, 2020-06-09 11:23:36,  8, 130, WPA2, CCMP, PSK, -88,        9,        0,   0.  0.  0.  0,  14, BeSpot6A59_2.4, 
8C:FE:74:65:C7:58, 2020-06-09 11:23:12, 2020-06-09 11:23:49, 10, 130, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,  10, Smart_City, 
7C:B7:33:6B:CB:C9, 2020-06-09 11:22:54, 2020-06-09 11:23:50,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -87,       33,        4,   0.  0.  0.  0,  13, HOTFiber-420C, 
7C:03:4C:FF:50:A9, 2020-06-09 11:22:56, 2020-06-09 11:23:48,  9, 130, WPA2 WPA, CCMP TKIP, PSK, -87,       11,        0,   0.  0.  0.  0,  11, HOTBOX-9D54, 
F8:AB:05:41:2A:49, 2020-06-09 11:23:00, 2020-06-09 11:23:37,  4, 270, WPA2 WPA, CCMP TKIP, PSK, -86,        8,        5,   0.  0.  0.  0,   6, kadosh, 
