Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Limor1;40:65:A3:2D:90:15;;1;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Tue Jun  9 11:22:54 2020;Tue Jun  9 11:23:24 2020;-94;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;;7C:B7:33:2C:43:CC;;12;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Jun  9 11:23:05 2020;Tue Jun  9 11:23:12 2020;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;8C:FE:74:65:C7:53;;10;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Tue Jun  9 11:23:12 2020;Tue Jun  9 11:23:49 2020;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DIRECT-DD-HP DeskJet 3830 series;A0:8C:FD:0E:B6:B8;;9;No;WPA2,AES-CCM;No;65.0;0;0;0;0;0;0;0;;;Tue Jun  9 11:23:00 2020;Tue Jun  9 11:23:00 2020;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ELRSSID3F0A5F;58:7A:62:3F:0A:5F;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue Jun  9 11:23:09 2020;Tue Jun  9 11:23:50 2020;-93;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;E0:CA:94:B1:88:40;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Tue Jun  9 11:23:05 2020;Tue Jun  9 11:23:50 2020;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;DIRECT-43-HP DeskJet 3830 series;DC:4A:3E:CD:4B:24;;6;No;WPA2,AES-CCM;No;65.0;0;0;0;0;0;0;0;;;Tue Jun  9 11:22:58 2020;Tue Jun  9 11:23:20 2020;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Salon;80:C5:48:1A:9F:D4;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;4;0;0;4;;;Tue Jun  9 11:22:54 2020;Tue Jun  9 11:23:46 2020;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;10:5A:F7:0D:E8:18;;1;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Tue Jun  9 11:22:58 2020;Tue Jun  9 11:23:32 2020;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;HOTFiber-0ABA;24:20:C7:36:49:C0;;1;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;27;0;0;0;0;0;;;Tue Jun  9 11:22:54 2020;Tue Jun  9 11:23:50 2020;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
